text,label
i didnt feel humiliated,0
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0
im grabbing a minute to post i feel greedy wrong,3
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2
i am feeling grouchy,3
ive been feeling a little burdened lately wasnt sure why that was,0
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5
i feel as confused about life as a teenager or as jaded as a year old man,4
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1
i feel romantic too,2
